timestamp, state, clock ID, one way delay, offset from master, slave to master, master to slave, drift
2011-07-27 13:57:13:504963, slv, 0050c2fffed28deb/01, 0.000000000, 0.000036430, 0.000000000, 0.000035410, -5560
2011-07-27 13:57:14:625229, slv, 0050c2fffed28deb/01, 0.000000000, 0.000035450, 0.000000000, 0.000035490, -5525
2011-07-27 13:57:15:634752, slv, 0050c2fffed28deb/01, 0.000000000, 0.000035170, 0.000000000, 0.000034850, -5490
2011-07-27 13:57:16:635091, slv, 0050c2fffed28deb/01, 0.000000000, 0.000034730, 0.000000000, 0.000034610, -5456
2011-07-27 13:57:17:795354, slv, 0050c2fffed28deb/01, 0.000000000, 0.000034030, 0.000000000, 0.000033450, -5422
2011-07-27 13:57:18:804864, slv, 0050c2fffed28deb/01, 0.000000000, 0.000033630, 0.000000000, 0.000033810, -5389
2011-07-27 13:57:19:805314, slv, 0050c2fffed28deb/01, 0.000000000, 0.000033810, 0.000000000, 0.000033810, -5356
2011-07-27 13:57:20:955124, slv, 0050c2fffed28deb/01, 0.000000000, 0.000033310, 0.000000000, 0.000032810, -5323
2011-07-27 13:57:21:975395, slv, 0050c2fffed28deb/01, 0.000000000, 0.000032970, 0.000000000, 0.000033130, -5291
2011-07-27 13:57:22:975065, slv, 0050c2fffed28deb/01, 0.000000000, 0.000032850, 0.000000000, 0.000032570, -5259
2011-07-27 13:57:24:105655, slv, 0050c2fffed28deb/01, 0.000000000, 0.000032210, 0.000000000, 0.000031850, -5227
2011-07-27 13:57:25:125158, slv, 0050c2fffed28deb/01, 0.000000000, 0.000031370, 0.000000000, 0.000030890, -5196
2011-07-27 13:57:26:125723, slv, 0050c2fffed28deb/01, 0.000000000, 0.000034090, 0.000000000, 0.000037290, -5162
2011-07-27 13:57:27:285423, slv, 0050c2fffed28deb/01, 0.000000000, 0.000033790, 0.000000000, 0.000030290, -5129
2011-07-27 13:57:28:295706, slv, 0050c2fffed28deb/01, 0.000000000, 0.000030790, 0.000000000, 0.000031290, -5099
2011-07-27 13:57:29:295357, slv, 0050c2fffed28deb/01, 0.000000000, 0.000030650, 0.000000000, 0.000030010, -5069
2011-07-27 13:57:30:435919, slv, 0050c2fffed28deb/01, 0.000000000, 0.000029470, 0.000000000, 0.000028930, -5040
2011-07-27 13:57:31:445809, slv, 0050c2fffed28deb/01, 0.000000000, 0.000028930, 0.000000000, 0.000028930, -5012
2011-07-27 13:57:32:445889, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026110, 0.000000000, 0.000023290, -4986
2011-07-27 13:57:33:566104, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026830, 0.000000000, 0.000030370, -4960
2011-07-27 13:57:34:585627, slv, 0050c2fffed28deb/01, 0.000000000, 0.000030090, 0.000000000, 0.000029810, -4930
2011-07-27 13:57:35:586297, slv, 0050c2fffed28deb/01, 0.000000000, 0.000029430, 0.000000000, 0.000029050, -4901
2011-07-27 13:57:36:735862, slv, 0050c2fffed28deb/01, 0.000000000, 0.000028230, 0.000000000, 0.000027410, -4873
2011-07-27 13:57:37:756158, slv, 0050c2fffed28deb/01, 0.000000000, 0.000027830, 0.000000000, 0.000028250, -4846
2011-07-27 13:57:38:755805, slv, 0050c2fffed28deb/01, 0.000000000, 0.000027750, 0.000000000, 0.000027250, -4819
2011-07-27 13:57:39:906397, slv, 0050c2fffed28deb/01, 0.000000000, 0.000027410, 0.000000000, 0.000027570, -4792
2011-07-27 13:57:40:915916, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026950, 0.000000000, 0.000026330, -4766
2011-07-27 13:57:41:916371, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026370, 0.000000000, 0.000026410, -4740
2011-07-27 13:57:43:046166, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026350, 0.000000000, 0.000026290, -4714
2011-07-27 13:57:44:066459, slv, 0050c2fffed28deb/01, 0.000000000, 0.000026450, 0.000000000, 0.000026610, -4688
2011-07-27 13:57:45:066111, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025910, 0.000000000, 0.000025210, -4663
2011-07-27 13:57:46:216689, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025510, 0.000000000, 0.000025810, -4638
2011-07-27 13:57:47:226233, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025370, 0.000000000, 0.000024930, -4613
2011-07-27 13:57:48:226695, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025270, 0.000000000, 0.000025610, -4588
2011-07-27 13:57:49:376471, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025370, 0.000000000, 0.000025130, -4563
2011-07-27 13:57:50:386786, slv, 0050c2fffed28deb/01, 0.000000000, 0.000025090, 0.000000000, 0.000025050, -4538
2011-07-27 13:57:51:469938, slv, 0050c2fffed28deb/01, 0.000000000, 0.000024310, 0.000000000, 0.000023570, -4514
2011-07-27 13:57:52:516686, slv, 0050c2fffed28deb/01, 0.000000000, 0.000024290, 0.000000000, 0.000025010, -4490
2011-07-27 13:57:53:536927, slv, 0050c2fffed28deb/01, 0.000000000, 0.000024170, 0.000000000, 0.000023330, -4466
